Hotel,Jahr,Status,Ratenstufe,Zimmerrate,Zimmerrate 2,Frühstückspreis,Übernachtungen von,Übernachtungen bis
mk hotel stuttgart,2026,Aktiv,Rate 3,Standardzimmer Business,,17.50,50,99
mk hotel hamburg,2026,Aktiv,Rate 2,Komfortzimmer Business,Standardzimmer,19.00,100,199
